name,MARKA,KOLEKSIYON,price,price_category,CINSIYET,MEKANIZMA,KASA MATERYALI,case_material_category,KASA ÇAPI,SU REZISTANSI,water_resistance_category,brand_country,brand_age,collection_price_tier,url,image,page,scraped_at,AILE,GARANTI SÜRESI,GÜÇ REZERVI,KADRAN,KAYIŞ,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,REFERANS,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Classic Fusion,Hublot,Classic Fusion,468000.0,Luxury,Kadın,Pilli,Titanyum,Titanium,33mm,50m,Water Resistant,Switzerland,44.0,Ultra-Luxury Collection,https://samiwatches.com/urun/hublot-classic-fusion-581-nx-7170-lr-1104/,https://samiwatches.com/wp-content/uploads/2023/06/581.NX_.7170.LR_.1104-scaled-300x400.webp,13,2025-10-06T06:26:32.600558,,2 Yıl,,Mavi,Krokodil,Classic Fusion,468.000₺,581.NX.7170.LR.1104,1980.0,842739.1,681200.0,419912.2,92.0,-0.444668,0.79011977,0.21346247,False,45.0,Yüzme (50m),Lüks,33.0,Küçük (<36mm),Çok Prestijli
Riviera Chronograph,Baume & Mercier,Riviera,155700.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43mm,100m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-riviera-chronograph-10623/,https://samiwatches.com/wp-content/uploads/2025/02/10623-4-300x400.webp,13,2025-10-06T06:26:42.961995,,2 Yıl,48 Saat,Mavi,Kauçuk,Riviera Chronograph,155.700₺,10623,1830.0,126401.04,120200.0,54582.965,96.0,0.23179364,0.44491017,-0.35168535,False,45.0,Snorkeling (100m),Orta Segment,43.0,Büyük (40-44mm),Orta Prestij
Chronomat,Breitling,Chronomat,439400.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,200m,Swimming,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/breitling-chronoma-ab0134101c1a1/,https://samiwatches.com/wp-content/uploads/2023/06/AB0134101C1A1-1-1-scaled-jpg-300x400.webp,13,2025-10-06T06:26:53.460258,,5 Yıl,70 Saat,Mavi,Paslanmaz Çelik,Chronomat,439.400₺,AB0134101C1A1,1884.0,344131.2,317200.0,114878.734,125.0,0.2768386,0.7667665,0.16170703,False,19.0,Dalış (200m),Lüks,42.0,Büyük (40-44mm),Prestijli
Classic Fusion Titanium Green,Hublot,Classic Fusion,291200.0,Mid-Range,Kadın,Pilli,Titanyum,Titanium,29mm,50m,Water Resistant,Switzerland,44.0,Ultra-Luxury Collection,https://samiwatches.com/urun/hublot-classic-fusion-titanium-green-591-nx-8970-rx/,https://samiwatches.com/wp-content/uploads/2024/07/591.NX_.8970.RX_-scaled-jpg-300x400.webp,13,2025-10-06T06:27:04.278522,,2 Yıl,,Yeşil,Kauçuk,Classic Fusion Titanium Green,291.200₺,591.NX.8970.RX,1980.0,842739.1,681200.0,419912.2,92.0,-0.6544601,0.64461076,-0.106480315,False,45.0,Yüzme (50m),Premium,29.0,Küçük (<36mm),Çok Prestijli
Hampton,Baume & Mercier,Hampton,129000.0,Mid-Range,Kadın,Pilli,Paslanmaz Çelik,Steel,35x22mm,50m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-hampton-10709/,https://samiwatches.com/wp-content/uploads/2025/02/10709-1-300x400.webp,13,2025-10-06T06:27:12.748751,,2 Yıl,,Mavi,Krokodil,Hampton,129.000₺,10709,1830.0,126401.04,120200.0,54582.965,96.0,0.020561209,0.36137724,-0.40000248,False,16.0,Yüzme (50m),Orta Segment,35.0,Küçük (<36mm),Orta Prestij
Classima Moon Phase Diamond Set,Baume & Mercier,Classima,77700.0,Budget,Kadın,Pilli,Paslanmaz Çelik,Steel,31mm,50m,Water Resistant,Switzerland,194.0,Entry Collection,https://samiwatches.com/urun/baume-mercier-classima-moon-phase-diamond-set-10329/,https://samiwatches.com/wp-content/uploads/2025/02/10329-1-300x400.webp,13,2025-10-06T06:27:23.457513,,2 Yıl,,Gümüş,Krokodil,Classima Moon Phase Diamond Set,77.700₺,10329,1830.0,126401.04,120200.0,54582.965,96.0,-0.38528988,0.21826348,-0.49283656,False,19.0,Yüzme (50m),Ekonomik,31.0,Küçük (<36mm),Orta Prestij
Blast Skeleton,Ulysse Nardin,Diğer Koleksiyonlar,1.4924e+06,Ultra-Luxury,Erkek,Elle Kurmalı,Karbon,Carbon,43mm,50m,Water Resistant,Switzerland,178.0,Ultra-Luxury Collection,https://samiwatches.com/urun/ulysse-nardin-blast-skeleton-3715-260-3-carb/,https://samiwatches.com/wp-content/uploads/2024/06/3715-260-3-CARB-1-scaled-jpg-300x400.webp,13,2025-10-06T06:27:34.613065,,5 Yıl,96 Saat,İskelet,Kauçuk,Blast Skeleton,1.492.400₺,3715-260-3/CARB,1846.0,1.3e+06,743600.0,1.5462441e+06,19.0,0.148,0.9697605,2.0672486,True,2.0,Yüzme (50m),Ultra Lüks,43.0,Büyük (40-44mm),Ultra Prestijli
Chemin Des Tourelles Squelette,Tissot,T-Classic Collection,48570.0,Budget,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,50m,Water Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/tissot-chemin-des-tourelles-squelette-2-t139-836-36-441-00/,https://samiwatches.com/wp-content/uploads/2024/06/T139.836.36.441.00-1-scaled-jpg-300x400.webp,13,2025-10-06T06:27:45.281928,Chemin des Tourelles,2 Yıl,80 Saat,Siyah,Deri,Chemin Des Tourelles Squelette,48.570₺,T139.836.36.441.00,1853.0,30113.854,26090.0,13456.789,288.0,0.6128789,0.16676646,-0.5455511,False,160.0,Yüzme (50m),Ekonomik,39.0,Orta (36-40mm),Giriş Seviyesi
PRX Powermatic 80,Tissot,T-Classic Collection,37780.0,Budget,"Erkek, Kadın",Otomatik,Paslanmaz Çelik,Steel,35mm,100m,Water Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/tissot-prx-powermatic-80-t137-207-11-091-01/,https://samiwatches.com/wp-content/uploads/2024/05/T137.207.11.091.01-1-scaled-300x400.webp,13,2025-10-06T06:27:55.884174,PRX,2 Yıl,80 Saat,Yeşil,Paslanmaz Çelik,PRX Powermatic 80,37.780₺,T137.207.11.091.01,1853.0,30113.854,26090.0,13456.789,288.0,0.25457206,0.12604791,-0.56507707,False,160.0,Snorkeling (100m),Ekonomik,35.0,Küçük (<36mm),Giriş Seviyesi
M-Series Urban Explorer,Sevenfriday,M-Series,111800.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,47mm,30m,Splash Resistant,Unknown,,Premium Collection,https://samiwatches.com/urun/sevenfriday-m-series-urban-explorer-sf-m1b-01m/,https://samiwatches.com/wp-content/uploads/2024/07/SF-M1B-01M-1-scaled-jpg-300x400.webp,13,2025-10-06T06:28:06.922510,,2 Yıl,40 Saat,Siyah,Paslanmaz Çelik,M-Series Urban Explorer,111.800₺,SF-M1B/01M,,93480.95,87900.0,16714.975,42.0,0.19596556,0.31467065,-0.43112814,False,11.0,Günlük Kullanım (30m),Orta Segment,47.0,Çok Büyük (>44mm),Giriş Seviyesi
Defy Skyline Chronograph,Zenith,Defy,751400.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-skyline-chronograph-03-9500-3600-51-i001/,https://samiwatches.com/wp-content/uploads/2024/06/03.9500.3600.51.I001-1-scaled-jpg-300x400.webp,13,2025-10-06T06:28:17.372922,,2 Yıl,60 Saat,Mavi,Paslanmaz Çelik,Defy Skyline Chronograph,751.400₺,03.9500.3600/51.I001,1865.0,899523.5,634400.0,777656.8,34.0,-0.16466887,0.8967066,0.7263119,False,12.0,Snorkeling (100m),Lüks,42.0,Büyük (40-44mm),Çok Prestijli
Aquaracer Professional 300 Date,Tag Heuer,Aquaracer,215800.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-professional-300-date-wbp5111-ba0013/,https://samiwatches.com/wp-content/uploads/2024/06/WBP5111.BA0013-1-scaled-jpg-300x400.webp,13,2025-10-06T06:28:28.151824,,2 Yıl,80 Saat,Mavi,Paslanmaz Çelik,Aquaracer Professional 300 Date,215.800₺,WBP5111.BA0013,,219025.56,179400.0,138288.27,133.0,-0.014726883,0.55958086,-0.24292651,False,50.0,Profesyonel Dalış (300m+),Premium,42.0,Büyük (40-44mm),Prestijli
Conquest,Longines,Performance,109000.0,Mid-Range,Kadın,Otomatik,Paslanmaz Çelik,Steel,34mm,100m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-conquest-l3-430-4-92-6/,https://samiwatches.com/wp-content/uploads/2024/06/L3.430.4.92.6-1-scaled-jpg-300x400.webp,13,2025-10-06T06:28:38.752053,Conquest,5 Yıl,72 Saat,Mavi,Paslanmaz Çelik,Conquest,109.000₺,L3.430.4.92.6,1832.0,134676.78,131000.0,52081.965,267.0,-0.19065483,0.3002994,-0.4361951,False,57.0,Snorkeling (100m),Orta Segment,34.0,Küçük (<36mm),Orta Prestij
Endurance Pro IRONMAN®,Breitling,Professional,184600.0,Mid-Range,Erkek,Pilli,Karbon,Carbon,44mm,100m,Water Resistant,Switzerland,140.0,Premium Collection,https://samiwatches.com/urun/breitling-endurance-pro-ironman-x823101b1b1s1/,https://samiwatches.com/wp-content/uploads/2024/05/X823101B1B1S1-1-scaled-300x400.webp,13,2025-10-06T06:28:49.087670,,2 Yıl,,Siyah,Kauçuk,Endurance Pro IRONMAN®,184.600₺,X823101B1B1S1,1884.0,344131.2,317200.0,114878.734,125.0,-0.46357667,0.5194611,-0.299387,False,15.0,Snorkeling (100m),Premium,44.0,Büyük (40-44mm),Prestijli
Aquaracer Professional 200 Date,Tag Heuer,Aquaracer,184600.0,Mid-Range,Kadın,Otomatik,Paslanmaz Çelik,Steel,30mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-professional-200-date-wbp2414-ba0622/,https://samiwatches.com/wp-content/uploads/2023/08/WBP2414.BA0622-1-scaled-300x400.webp,13,2025-10-06T06:28:59.743574,,2 Yıl,40 Saat,Kırmızı,Paslanmaz Çelik,Aquaracer Professional 200 Date,184.600₺,WBP2414.BA0622,,219025.56,179400.0,138288.27,133.0,-0.157176,0.5194611,-0.299387,False,50.0,Dalış (200m),Premium,30.0,Küçük (<36mm),Prestijli
Formula 1 Chronograph,Tag Heuer,Formula 1,119600.0,Mid-Range,Erkek,Pilli,Paslanmaz Çelik,Steel,43mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-chronograph-caz101av-ba0842/,https://samiwatches.com/wp-content/uploads/2024/06/CAZ101AV.BA0842-1-scaled-jpg-300x400.webp,13,2025-10-06T06:29:09.940501,,2 Yıl,,Mavi,Paslanmaz Çelik,Formula 1 Chronograph,119.600₺,CAZ101AV.BA0842,,219025.56,179400.0,138288.27,133.0,-0.453945,0.33473054,-0.41701302,False,38.0,Dalış (200m),Orta Segment,43.0,Büyük (40-44mm),Prestijli
Defy Skyline Tourbillon,Zenith,Defy,3.7856e+06,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,41mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-skyline-tourbillon-49-9300-3630-21-i001/,https://samiwatches.com/wp-content/uploads/2024/05/49.9300.3630.21.I001-1-scaled-300x400.webp,13,2025-10-06T06:29:20.490268,,2 Yıl,60 Saat,Siyah,Seramik,Defy Skyline Tourbillon,3.785.600₺,49.9300.3630/21.I001,1865.0,899523.5,634400.0,777656.8,34.0,3.2084503,0.9952096,6.217095,True,12.0,Snorkeling (100m),Ultra Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Concept BR 03 Cyber Ceramic,Bell & Ross,Diğer Koleksiyonlar,676900.0,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,42mm,50m,Water Resistant,Unknown,,Ultra-Luxury Collection,https://samiwatches.com/urun/bell-ross-concept-br-03-cyber-ceramic-br03-cyber-ce/,https://samiwatches.com/wp-content/uploads/2024/06/BR03-CYBER-CE-1-scaled-300x400.webp,13,2025-10-06T06:29:31.138607,,2 Yıl,48 Saat,İskelet,Kauçuk,Concept BR 03 Cyber Ceramic,676.900₺,BR03-CYBER-CE,,319280.0,287100.0,120730.07,30.0,1.1200827,0.8844311,0.59149444,False,1.0,Yüzme (50m),Lüks,42.0,Büyük (40-44mm),Prestijli
Hydroconquest GMT,Longines,Performance,156000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43mm,300m,Diving,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-hydroconquest-l3-890-4-06-6/,https://samiwatches.com/wp-content/uploads/2024/07/L3.890.4.06.6-1-scaled-jpg-300x400.webp,13,2025-10-06T06:29:41.962810,Conquest,5 Yıl,72 Saat,Yeşil,Paslanmaz Çelik,Hydroconquest GMT,156.000₺,L3.890.4.06.6,1832.0,134676.78,131000.0,52081.965,267.0,0.15832886,0.44880238,-0.35114244,False,57.0,Profesyonel Dalış (300m+),Orta Segment,43.0,Büyük (40-44mm),Orta Prestij
Hampton,Baume & Mercier,Hampton,107500.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43x27mm,50m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-hampton-10522/,https://samiwatches.com/wp-content/uploads/2025/02/10522-1-300x400.webp,13,2025-10-06T06:29:50.849815,,2 Yıl,38 Saat,Gri,Krokodil,Hampton,107.500₺,10522,1830.0,126401.04,120200.0,54582.965,96.0,-0.14953232,0.29311377,-0.43890956,False,16.0,Yüzme (50m),Orta Segment,43.0,Büyük (40-44mm),Orta Prestij
P-Series,Sevenfriday,P-Series,115400.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,47mm,30m,Splash Resistant,Unknown,,Entry Collection,https://samiwatches.com/urun/sevenfriday-p-series-sf-ps1-04/,https://samiwatches.com/wp-content/uploads/2024/07/SF-PS1-04-2-scaled-jpg-300x400.webp,13,2025-10-06T06:30:01.333750,,2 Yıl,40 Saat,Mavi,Deri,P-Series,115.400₺,SF-PS1/04,,93480.95,87900.0,16714.975,42.0,0.23447609,0.3230539,-0.42461348,False,23.0,Günlük Kullanım (30m),Orta Segment,47.0,Çok Büyük (>44mm),Giriş Seviyesi
Conquest Heritage Central Power Reserve,Longines,Watchmaking Tradition,203000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-conquest-heritage-central-power-reserve-l1-648-4-52-2/,https://samiwatches.com/wp-content/uploads/2024/06/L1.648.4.52.2-1-scaled-jpg-300x400.webp,13,2025-10-06T06:30:11.719878,Conquest Heritage,5 Yıl,72 Saat,Siyah,Krokodil,Conquest Heritage Central Power Reserve,203.000₺,L1.648.4.52.2,1832.0,134676.78,131000.0,52081.965,267.0,0.50731254,0.54131734,-0.26608977,False,54.0,Yüzme (50m),Premium,38.0,Orta (36-40mm),Orta Prestij
Mini DolceVita,Longines,Elegance,86000.0,Budget,Kadın,Pilli,Paslanmaz Çelik,Steel,22x29mm,30m,Splash Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-mini-dolcevita-l5-200-4-75-8/,https://samiwatches.com/wp-content/uploads/2024/05/L5.200.4.75.8-1-scaled-300x400.webp,13,2025-10-06T06:30:23.418676,Mini DolceVita,2 Yıl,,Gümüş,Deri,Mini DolceVita,86.000₺,L5.200.4.75.8,1832.0,134676.78,131000.0,52081.965,267.0,-0.3614341,0.24101797,-0.4778166,False,69.0,Günlük Kullanım (30m),Ekonomik,22.0,Küçük (<36mm),Orta Prestij
Urban BR 05 Skeleton Black Ceramic,Bell & Ross,Urban,433400.0,Luxury,Erkek,Otomatik,Seramik,Ceramic,41mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/bell-ross-urban-br-05-skeleton-black-ceramic-br05a-bl-sk-ce-srb/,https://samiwatches.com/wp-content/uploads/2024/06/BR05A-BL-SK-CE-SRB-1-scaled-300x400.webp,13,2025-10-06T06:30:35.371788,,2 Yıl,54 Saat,İskelet,Kauçuk,Urban BR 05 Skeleton Black Ceramic,433.400₺,BR05A-BL-SK-CE/SRB,,319280.0,287100.0,120730.07,30.0,0.3574292,0.76347303,0.15084924,False,19.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Prestijli
Riviera,Baume & Mercier,Riviera,148800.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,100m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-riviera-10702/,https://samiwatches.com/wp-content/uploads/2025/02/10702-1-300x400.webp,13,2025-10-06T06:30:46.093060,,8 Yıl,120 Saat,Gri,Paslanmaz Çelik,Riviera,148.800₺,10702,1830.0,126401.04,120200.0,54582.965,96.0,0.17720549,0.42904192,-0.3641718,False,45.0,Snorkeling (100m),Orta Segment,42.0,Büyük (40-44mm),Orta Prestij
Divers Date,Oris,Divers,145600.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/oris-divers-date-01-733-7795-4055-set/,https://samiwatches.com/wp-content/uploads/2024/11/01-733-7795-4055-Set-1-scaled-300x400.webp,13,2025-10-06T06:30:57.054129,,2 Yıl,41 Saat,Mavi,Paslanmaz Çelik,Divers Date,145.600₺,01 733 7795 4055-Set,,177222.78,143000.0,68706.82,79.0,-0.1784352,0.4215569,-0.3699626,False,13.0,Dalış (200m),Orta Segment,39.0,Orta (36-40mm),Orta Prestij
Big Crown ProPilot Date,Oris,Big Crown,117000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Unknown,,Premium Collection,https://samiwatches.com/urun/oris-big-crown-propilot-date-01-751-7761-4065-07-6-20-07lc/,https://samiwatches.com/wp-content/uploads/2024/11/01-751-7761-4065-07-6-20-07LC-scaled-300x400.webp,13,2025-10-06T06:31:08.191952,,2 Yıl,38 Saat,Mavi,Deri,Big Crown ProPilot Date,117.000₺,01 751 7761 4065-07 6 20 07LC,,177222.78,143000.0,68706.82,79.0,-0.339814,0.3275449,-0.42171806,False,19.0,Snorkeling (100m),Orta Segment,41.0,Büyük (40-44mm),Orta Prestij
Constellation,Omega,Constellation,465600.0,Luxury,Kadın,Pilli,Paslanmaz Çelik,Steel,28mm,30m,Splash Resistant,Switzerland,176.0,Luxury Collection,https://samiwatches.com/urun/omega-constellation-131-15-28-60-99-001/,https://samiwatches.com/wp-content/uploads/2024/05/131.15.28.60.99.001-1-scaled-300x400.webp,13,2025-10-06T06:31:19.134261,Constellation,5 Yıl,,Gri,Paslanmaz Çelik,Constellation,465.600₺,131.15.28.60.99.001,1848.0,513525.72,401600.0,458838.5,140.0,-0.09332681,0.7868264,0.20911936,False,42.0,Günlük Kullanım (30m),Lüks,28.0,Küçük (<36mm),Çok Prestijli
Defy Skyline Chronograph,Zenith,Defy,751400.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-skyline-chronograph-03-9500-3600-21-i001/,https://samiwatches.com/wp-content/uploads/2024/06/03.9500.3600.21.I001-2-scaled-jpg-300x400.webp,13,2025-10-06T06:31:30.051689,,2 Yıl,60 Saat,Siyah,Paslanmaz Çelik,Defy Skyline Chronograph,751.400₺,03.9500.3600/21.I001,1865.0,899523.5,634400.0,777656.8,34.0,-0.16466887,0.8967066,0.7263119,False,12.0,Snorkeling (100m),Lüks,42.0,Büyük (40-44mm),Çok Prestijli
Mini DolceVita,Longines,Elegance,86000.0,Budget,Kadın,Pilli,Paslanmaz Çelik,Steel,22x29mm,30m,Splash Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-mini-dolcevita-l5-200-4-75-0/,https://samiwatches.com/wp-content/uploads/2024/06/L5.200.4.75.0-1-scaled-jpg-300x400.webp,13,2025-10-06T06:31:41.011352,Mini DolceVita,2 Yıl,,Gümüş,Deri,Mini DolceVita,86.000₺,L5.200.4.75.0,1832.0,134676.78,131000.0,52081.965,267.0,-0.3614341,0.24101797,-0.4778166,False,69.0,Günlük Kullanım (30m),Ekonomik,22.0,Küçük (<36mm),Orta Prestij
HydroConquest GMT,Longines,Diving,156000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43mm,300m,Diving,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-hydroconquest-gmt-l3-890-4-56-6/,https://samiwatches.com/wp-content/uploads/2024/06/L3.890.4.56.6-1-scaled-jpg-300x400.webp,13,2025-10-06T06:31:51.947474,HydroConquest,5 Yıl,72 Saat,Siyah,Paslanmaz Çelik,HydroConquest GMT,156.000₺,L3.890.4.56.6,1832.0,134676.78,131000.0,52081.965,267.0,0.15832886,0.44880238,-0.35114244,False,49.0,Profesyonel Dalış (300m+),Orta Segment,43.0,Büyük (40-44mm),Orta Prestij
Urban BR 05 Black Ceramic,Bell & Ross,Urban,370100.0,Luxury,Erkek,Otomatik,Seramik,Ceramic,41mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/bell-ross-urban-br-05-black-ceramic-br05a-bl-ce-sce/,https://samiwatches.com/wp-content/uploads/2024/06/BR05A-BL-CE-SCE-1-scaled-300x400.webp,13,2025-10-06T06:32:02.979080,,2 Yıl,54 Saat,Siyah,Seramik,Urban BR 05 Black Ceramic,370.100₺,BR05A-BL-CE/SCE,,319280.0,287100.0,120730.07,30.0,0.15917063,0.7215569,0.036299586,False,19.0,Snorkeling (100m),Premium,41.0,Büyük (40-44mm),Prestijli
Big Crown X Cervo Volante,Oris,Big Crown,130000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Unknown,,Premium Collection,https://samiwatches.com/urun/oris-big-crown-x-cervo-volante-01-754-7779-4063-set/,https://samiwatches.com/wp-content/uploads/2024/06/01-754-7779-4063-Set-1-scaled-jpg-300x400.webp,13,2025-10-06T06:32:12.130003,,2 Yıl,38 Saat,Gri,Deri,Big Crown X Cervo Volante,130.000₺,01 754 7779 4063-Set,,177222.78,143000.0,68706.82,79.0,-0.26646,0.3706587,-0.39819285,False,19.0,Yüzme (50m),Orta Segment,38.0,Orta (36-40mm),Orta Prestij
Urban BR 05 Grey Steel,Bell & Ross,Urban,238600.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/bell-ross-urban-br-05-grey-steel-br05a-gr-st-srb/,https://samiwatches.com/wp-content/uploads/2024/06/BR05A-GR-ST-SRB-1-scaled-300x400.webp,13,2025-10-06T06:32:22.822345,,2 Yıl,42 Saat,Gri,Kauçuk,Urban BR 05 Grey Steel,238.600₺,BR05A-GR-ST/SRB,,319280.0,287100.0,120730.07,30.0,-0.25269356,0.58622754,-0.2016669,False,19.0,Snorkeling (100m),Premium,40.0,Orta (36-40mm),Prestijli
Urban BR 05 Skeleton Black Ceramic,Bell & Ross,Urban,477300.0,Luxury,Erkek,Otomatik,Seramik,Ceramic,41mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/bell-ross-urban-br-05-skeleton-black-ceramic-br05a-bl-sk-ce-sce/,https://samiwatches.com/wp-content/uploads/2024/06/BR05A-BL-SK-CE-SCE-1-scaled-300x400.webp,13,2025-10-06T06:32:33.518223,,2 Yıl,54 Saat,İskelet,Seramik,Urban BR 05 Skeleton Black Ceramic,477.300₺,BR05A-BL-SK-CE/SCE,,319280.0,287100.0,120730.07,30.0,0.4949261,0.8,0.23029205,False,19.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Prestijli
Urban BR 05 GMT Sky Blue,Bell & Ross,Urban,282500.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/bell-ross-urban-br-05-gmt-sky-bl-br05g-pb-st-sst/,https://samiwatches.com/wp-content/uploads/2023/08/BR05G-PB-ST-SST-1-scaled-300x400.webp,13,2025-10-06T06:32:43.899445,,2 Yıl,42 Saat,Mavi,Paslanmaz Çelik,Urban BR 05 GMT Sky Blue,282.500₺,BR05G-PB-ST-SST,,319280.0,287100.0,120730.07,30.0,-0.11519669,0.63712573,-0.1222241,False,19.0,Snorkeling (100m),Premium,41.0,Büyük (40-44mm),Prestijli
Urban BR-X5 Ice Blue Steel,Bell & Ross,Urban,399300.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/bell-ross-urban-br-x5-ice-blue-steel-brx5r-ib-st-sst/,https://samiwatches.com/wp-content/uploads/2024/06/BRX5R-IB-ST-SST-1-scaled-300x400.webp,13,2025-10-06T06:32:55.749126,,2 Yıl,70 Saat,Mavi,Paslanmaz Çelik,Urban BR-X5 Ice Blue Steel,399.300₺,BRX5R-IB-ST/SST,,319280.0,287100.0,120730.07,30.0,0.25062642,0.7437126,0.08914082,False,19.0,Snorkeling (100m),Premium,41.0,Büyük (40-44mm),Prestijli
Golden Bridge Automatic,Corum,Diğer Koleksiyonlar,1.0816e+06,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,42x52mm,100m,Water Resistant,Unknown,,Ultra-Luxury Collection,https://samiwatches.com/urun/corum-golden-bridge-automatic-watch-107-101-04-f371-0000/,https://samiwatches.com/wp-content/uploads/2024/02/107.101.04.F371-0000-scaled-300x400.webp,13,2025-10-06T06:33:06.933193,,2 Yıl,72 Saat,İskelet,Kauçuk,Golden Bridge Automatic,1.081.600₺,107.101.04/F371 0000,,925600.0,837200.0,554233.2,5.0,0.16853933,0.93712574,1.3238522,False,1.0,Snorkeling (100m),Ultra Lüks,42.0,Büyük (40-44mm),Çok Prestijli
Aquaracer Professional 300 Date,Tag Heuer,Aquaracer,205400.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-professional-300-date-wbp5111-ft6259/,https://samiwatches.com/wp-content/uploads/2024/06/WBP5111.FT6259-1-scaled-jpg-300x400.webp,13,2025-10-06T06:33:17.234325,,2 Yıl,80 Saat,Mavi,Kauçuk,Aquaracer Professional 300 Date,205.400₺,WBP5111.FT6259,,219025.56,179400.0,138288.27,133.0,-0.062209927,0.54401195,-0.26174667,False,50.0,Profesyonel Dalış (300m+),Premium,42.0,Büyük (40-44mm),Prestijli
